time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-31T04:09:44.770Z,30.5937,50.0298,10,4.7,mb,,78,5.786,0.92,us,us7000gym3,2022-03-31T04:40:54.932Z,"20 km W of Behbahān, Iran",earthquake,6.6,1.9,0.067,68,reviewed,us,us
2022-03-31T04:08:05.117Z,59.8603,-153.2907,118.5,2.6,ml,,,,0.7,ak,ak02244wsot1,2022-03-31T04:18:35.468Z,"46 km E of Pedro Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-03-31T03:54:57.463Z,-20.9983,-67.407,191.31,4.4,mb,,97,1.845,0.84,us,us7000gyly,2022-03-31T04:12:13.040Z,"85 km SW of Uyuni, Bolivia",earthquake,8.6,11.4,0.218,6,reviewed,us,us
2022-03-31T03:33:13.425Z,38.2042,-117.8746,7.6,2.6,ml,22,66.08,0.087,0.1438,nn,nn00836401,2022-03-31T16:08:33.457Z,"Nevada",earthquake,,1,0.19,10,reviewed,nn,nn
2022-03-31T03:06:47.708Z,-22.3941,170.1236,10,5.7,mww,,80,2.485,0.66,us,us7000gyln,2022-03-31T05:10:04.438Z,"249 km ESE of Tadine, New Caledonia",earthquake,7,1.8,0.098,10,reviewed,us,us
2022-03-31T02:05:26.760Z,37.4093333,-118.6031667,10.53,3.93,mw,33,62,0.06445,0.07,nc,nc73712486,2022-03-31T19:01:36.270Z,"1km SW of Round Valley, CA",earthquake,0.27,0.74,,5,reviewed,nc,nc
2022-03-31T02:00:52.242Z,-33.5631,-72.3316,10,4.2,mwr,,91,0.605,0.5,us,us7000gyl5,2022-03-31T02:30:42.479Z,"67 km W of Cartagena, Chile",earthquake,3.4,1.9,0.068,21,reviewed,us,us
2022-03-31T02:00:35.510Z,18.5535,-66.9061666666667,17.56,2.76,md,24,208,,0.23,pr,pr71342773,2022-03-31T02:52:48.700Z,"9 km NNE of Quebradillas, Puerto Rico",earthquake,0.61,0.36,0.112957525622527,20,reviewed,pr,pr
2022-03-31T00:57:06.004Z,-24.7606,-58.2107,10,3.5,mb_lg,,79,4.854,0.66,us,us7000gyl8,2022-03-31T11:26:52.070Z,"55 km NNW of Laguna Naick-Neck, Argentina",earthquake,9.7,2,0.255,4,reviewed,us,us
2022-03-31T00:28:50.783Z,-22.5696,170.2047,10,4.7,mb,,103,2.549,0.9,us,us7000gykr,2022-03-31T00:49:45.040Z,"265 km ESE of Tadine, New Caledonia",earthquake,7.7,1.9,0.092,36,reviewed,us,us
2022-03-31T00:23:07.257Z,-22.5092,170.122,10,4.7,mb,,105,2.475,0.77,us,us7000gykq,2022-03-31T00:39:14.040Z,"254 km ESE of Tadine, New Caledonia",earthquake,3.5,1.9,0.115,23,reviewed,us,us
2022-03-31T00:11:48.628Z,-11.1384,-77.9716,63.09,5.1,mb,,129,1.391,0.69,us,us7000gykg,2022-03-31T02:01:35.244Z,"38 km W of Caleta de Carquín, Peru",earthquake,4.2,7.1,0.029,393,reviewed,us,us
2022-03-30T23:54:32.270Z,-22.4784,170.2102,10,5.1,mb,,103,2.558,1.16,us,us7000gyke,2022-03-31T00:14:22.040Z,"261 km ESE of Tadine, New Caledonia",earthquake,2.8,1.9,0.075,58,reviewed,us,us
2022-03-30T23:40:35.894Z,26.8405,126.4133,10,4.2,mb,,74,1.661,1.1,us,us7000gyka,2022-03-31T06:27:45.584Z,"Ryukyu Islands, Japan",earthquake,7.3,1.9,0.176,9,reviewed,us,us
2022-03-30T23:17:08.918Z,-28.698,-71.4946,23.45,5,mwr,,97,0.615,1.46,us,us7000gyjz,2022-03-31T07:21:36.249Z,"73 km W of Vallenar, Chile",earthquake,3.9,4,0.033,90,reviewed,us,us
2022-03-30T22:28:10.192Z,-22.6825,170.1236,10,4.5,mb,,103,2.474,0.51,us,us7000gyjp,2022-03-30T22:41:49.040Z,"263 km ESE of Tadine, New Caledonia",earthquake,8.7,2,0.156,12,reviewed,us,us
2022-03-30T21:05:17.191Z,39.9787,-119.5704,7.5,2.6,ml,19,107.9,0.198,0.1288,nn,nn00836357,2022-03-31T02:40:00.434Z,"4 km NE of Sutcliffe, Nevada",earthquake,,1.7,0.18,8,reviewed,nn,nn
2022-03-30T20:56:58.474Z,-22.716,170.2861,10,6.9,mww,,42,2.624,1.32,us,us7000gyj0,2022-03-31T07:37:44.186Z,"279 km ESE of Tadine, New Caledonia",earthquake,7.6,1.8,0.066,22,reviewed,us,us
2022-03-30T19:04:18.699Z,57.8349,-138.2506,0,3,ml,,,,0.89,ak,ak02243i60r0,2022-03-30T19:10:53.856Z,"off the coast of Southeastern Alaska",earthquake,,1,,,automatic,ak,ak
2022-03-30T16:30:07.243Z,-25.6655,-70.0004,71.59,4.9,mb,,94,0.721,0.68,us,us7000gyfe,2022-03-30T20:01:44.349Z,"56 km ESE of Taltal, Chile",earthquake,3.8,6,0.132,20,reviewed,us,us
2022-03-30T16:01:02.870Z,14.0393,-91.6916,57.65,5.3,mww,,159,1.86,0.5,us,us7000gyfc,2022-03-31T16:04:39.185Z,"36 km SE of Champerico, Guatemala",earthquake,9.4,6.2,0.044,50,reviewed,us,us
2022-03-30T15:08:17.710Z,19.142,-155.5925,-0.38,2.51,md,51,121,,0.16,hv,hv72967582,2022-03-30T22:16:11.040Z,"8 km NNE of Wai‘ōhinu, Hawaii",earthquake,0.27,0.12,0.164068555150475,23,reviewed,hv,hv
2022-03-30T14:10:45.840Z,18.6856666666667,-67.4543333333333,13.36,3.08,md,13,203,,0.24,pr,pr71342723,2022-03-30T15:10:56.210Z,"42 km NW of Aguadilla, Puerto Rico",earthquake,0.86,1.55,0.138673080402103,13,reviewed,pr,pr
2022-03-30T13:32:36.630Z,18.0148333333333,-66.7205,16.54,2.54,md,11,129,,0.12,pr,pr71342718,2022-03-30T14:20:55.730Z,"2 km NNW of Tallaboa, Puerto Rico",earthquake,0.52,0.81,0.053098765135676,4,reviewed,pr,pr
2022-03-30T12:06:20.080Z,18.6083333333333,-66.7545,16.52,3.25,md,26,222,,0.35,pr,pr71342713,2022-03-30T12:43:44.411Z,"14 km NNE of Carrizales, Puerto Rico",earthquake,1.03,0.65,0.103293081262784,19,reviewed,pr,pr
2022-03-30T11:08:05.706Z,50.1135,179.3714,29.52,3.1,ml,,285,1.267,0.45,us,us7000gyfd,2022-03-31T04:53:12.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,10.4,22,0.097,14,reviewed,us,us
2022-03-30T11:03:37.860Z,17.8766666666667,-66.8943333333333,16.8,2.46,md,9,245,,0.23,pr,pr71342703,2022-03-30T11:28:28.200Z,"10 km S of Guánica, Puerto Rico",earthquake,1.57,1.27,0.057434748908415,5,reviewed,pr,pr
2022-03-30T11:00:55.841Z,-6.5588,147.2196,88.25,4.5,mb,,91,10.394,0.28,us,us7000gye0,2022-03-30T11:40:09.040Z,"30 km NE of Lae, Papua New Guinea",earthquake,12.9,8.7,0.124,19,reviewed,us,us
2022-03-30T10:36:23.774Z,51.6642,178.9908,78.41,4.4,mb,,129,0.391,0.75,us,us7000gydm,2022-03-30T16:15:49.386Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,3.4,7.8,0.062,76,reviewed,us,us
2022-03-30T10:14:41.821Z,35.9282,78.0076,10,4.3,mb,,100,4.513,0.83,us,us7000gydj,2022-03-30T11:07:25.040Z,"156 km NE of Thang, India",earthquake,8.6,1.9,0.148,14,reviewed,us,us
2022-03-30T09:44:49.929Z,56.7138,-155.5455,0,2.6,ml,,,,0.88,ak,ak02243cgc3n,2022-03-30T11:03:39.040Z,"87 km WSW of Akhiok, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-03-30T09:37:20.450Z,31.65391738,-104.3866443,5.848779297,2.8,ml,8,79,0.0984084679,0.1,tx,tx2022gfni,2022-03-30T12:04:00.268Z,"57 km S of Whites City, New Mexico",earthquake,1.618117129,2.781701452,0.1,6,reviewed,tx,tx
2022-03-30T09:29:05.845Z,52.4976,-175.1373,242.7,2.7,ml,,222,0.648,0.4,us,us7000gyfa,2022-03-31T04:51:44.040Z,"72 km WNW of Atka, Alaska",earthquake,20.2,11.9,0.115,10,reviewed,us,us
2022-03-30T09:05:38.781Z,-29.6699,-176.7672,10,4.7,mb,,133,1.084,0.41,us,us7000gydd,2022-03-30T10:57:54.040Z,"Kermadec Islands region",earthquake,10.9,1.7,0.142,15,reviewed,us,us
2022-03-30T08:47:19.215Z,31.6571378,-104.3861347,5.488867188,3.3,ml,9,80,0.09840824525,0.1,tx,tx2022gflr,2022-03-30T11:58:04.449Z,"57 km S of Whites City, New Mexico",earthquake,1.816749839,2.435037665,0.2,6,reviewed,tx,tx
2022-03-30T08:06:20.733Z,-4.8571,133.7139,10,4.8,mb,,84,2.417,0.7,us,us7000gycq,2022-03-30T08:21:34.040Z,"Near the south coast of Papua, Indonesia",earthquake,6.8,1.6,0.131,18,reviewed,us,us
2022-03-30T07:44:39.662Z,-6.1366,104.3106,63.85,5,mb,,42,2.221,1.3,us,us7000gyc2,2022-03-30T08:10:39.040Z,"131 km SW of Bandar Lampung, Indonesia",earthquake,7.8,6.7,0.072,122,reviewed,us,us
2022-03-30T07:33:51.470Z,-16.8283,-177.797,425.76,4.2,mb,,116,2.525,0.75,us,us7000gybz,2022-03-31T06:49:29.040Z,"280 km S of Alo, Wallis and Futuna",earthquake,13.4,10,0.102,27,reviewed,us,us
2022-03-30T07:12:27.689Z,56.3726,-149.4664,10,2.7,ml,,238,2.212,0.27,us,us7000gybw,2022-03-31T06:35:49.040Z,"219 km SE of Chiniak, Alaska",earthquake,4.5,2,0.071,26,reviewed,us,us
2022-03-30T06:23:42.930Z,19.1781666666667,-155.507,36.24,3.4,ml,52,100,,0.1,hv,hv72967212,2022-03-31T06:25:56.441Z,"4 km SW of Pāhala, Hawaii",earthquake,0.52,0.62,0.168907133699963,38,reviewed,hv,hv
2022-03-30T06:02:28.112Z,-58,-25.5756,60.68,5.1,mb,,69,7.142,0.8,us,us7000gyb8,2022-03-30T06:18:39.040Z,"South Sandwich Islands region",earthquake,10.3,7,0.07,70,reviewed,us,us
2022-03-30T05:07:31.400Z,19.2063333333333,-155.399166666667,32.96,3.71,ml,57,157,,0.13,hv,hv72967067,2022-03-30T21:18:46.959Z,"8 km E of Pāhala, Hawaii",earthquake,0.42,0.52,0.229274516618602,38,reviewed,hv,hv
2022-03-30T04:55:19.590Z,20.2098333333333,-155.616666666667,38.61,2.49,md,47,168,,0.16,hv,hv72967037,2022-03-31T01:27:24.040Z,"10 km NNW of Kukuihaele, Hawaii",earthquake,0.49,0.77,0.132787764717812,21,reviewed,hv,hv
2022-03-30T04:36:27.278Z,3.4229,126.7745,35,4.6,mb,,108,2.699,0.93,us,us7000gyaj,2022-03-31T01:10:15.040Z,"232 km NW of Tobelo, Indonesia",earthquake,11.5,2,0.114,23,reviewed,us,us
2022-03-30T03:52:32.648Z,27.2136,103.1089,32.26,4.5,mb,,117,6.382,0.82,us,us7000gyah,2022-03-31T00:28:06.040Z,"61 km W of Zhaotong, China",earthquake,10.8,6.7,0.102,28,reviewed,us,us
2022-03-30T03:21:42.604Z,0.0755,124.4342,77.15,4.5,mb,,54,1.998,0.61,us,us7000gya8,2022-03-31T00:22:49.040Z,"143 km SSW of Tomohon, Indonesia",earthquake,6.1,8.5,0.131,17,reviewed,us,us
2022-03-30T03:05:13.755Z,-30.234,-69.3721,125.63,4.3,mb,,66,0.675,0.84,us,us7000gya5,2022-03-31T00:14:31.040Z,"60 km W of San José de Jáchal, Argentina",earthquake,6.7,4.2,0.16,11,reviewed,us,us
2022-03-30T02:57:18.101Z,39.263,71.4719,10,4.6,mb,,47,0.339,0.8,us,us7000gya3,2022-03-30T03:16:15.040Z,"5 km NW of Karakenja, Tajikistan",earthquake,4.9,1.9,0.051,116,reviewed,us,us
2022-03-30T02:45:53.074Z,31.67596282,-104.3889932,6.157275391,3.1,ml,8,91,0.0955748402,0.2,tx,tx2022gezt,2022-03-30T03:00:08.559Z,"55 km S of Whites City, New Mexico",earthquake,1.28107514,2.316118559,0.2,7,reviewed,tx,tx
2022-03-30T02:04:49.485Z,31.6663,-104.3938,11.38,2.8,ml,,61,0.091,0.42,us,us7000gy9u,2022-03-30T02:18:10.040Z,"western Texas",earthquake,1.7,1.2,0.055,68,reviewed,us,us
2022-03-30T01:30:38.290Z,18.6778333333333,-66.6616666666667,70.21,3.06,md,14,221,,0.32,pr,pr71342648,2022-03-30T01:56:15.970Z,"23 km NNE of Arecibo, Puerto Rico",earthquake,2.17,2.17,0.0600646097651922,13,reviewed,pr,pr
2022-03-30T01:10:28.000Z,17.96,-66.819,13.4,2.46,md,15,191,,0.13,pr,pr71342638,2022-03-30T01:27:36.020Z,"3 km S of Indios, Puerto Rico",earthquake,0.6,0.3,0.122393539823931,8,reviewed,pr,pr
2022-03-30T01:02:14.209Z,31.67281111,-104.3787371,6.003027344,3.4,ml,9,88,0.09705374305,0.2,tx,tx2022gewj,2022-03-31T01:05:19.591Z,"55 km S of Whites City, New Mexico",earthquake,1.214926782,1.773989877,0.1,7,reviewed,tx,tx
2022-03-30T01:01:42.978Z,31.67782867,-104.3847031,5.026123046999999,2.5,ml,10,85,0.0993771948,0.2,tx,tx2022gewi,2022-03-30T01:52:23.861Z,"55 km S of Whites City, New Mexico",earthquake,1.493213744,2.066510949,0.1,7,reviewed,tx,tx
2022-03-30T00:42:50.765Z,38.1508,-117.9822,10.4,2.9,ml,23,68.85,0.022,0.1471,nn,nn00836279,2022-03-31T02:39:35.706Z,"28 km SSE of Mina, Nevada",earthquake,,0.7,0.19,12,reviewed,nn,nn
2022-03-30T00:39:07.958Z,38.3618,22.0821,10,4.1,mb,,85,1.187,0.72,us,us7000gy9a,2022-03-30T01:00:09.040Z,"10 km NE of Kamárai, Greece",earthquake,4.6,1.9,0.174,9,reviewed,us,us
2022-03-30T00:05:21.010Z,18.3141666666667,-66.3755,130.45,3.09,md,17,111,,0.21,pr,pr71342623,2022-03-30T12:04:37.234Z,"3 km ESE of Morovis, Puerto Rico",earthquake,1.56,0.87,0.120873097374313,13,reviewed,pr,pr
2022-03-30T00:03:43.948Z,60.0519,-153.3171,134.7,2.6,ml,,,,0.48,ak,ak022436umg1,2022-03-30T00:52:25.040Z,"53 km ENE of Pedro Bay, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2022-03-29T23:52:12.527Z,-17.5252,-172.987,10,4.9,mb,,124,3.778,0.8,us,us7000gy93,2022-03-30T00:13:40.040Z,"163 km NE of Neiafu, Tonga",earthquake,12.5,1.9,0.085,44,reviewed,us,us
2022-03-29T23:42:28.620Z,31.62579524,-104.5311309,7.648339844,2.7,ml,8,90,0.05008856861,0.2,tx,tx2022gets,2022-03-30T01:58:39.285Z,"62 km SSW of Whites City, New Mexico",earthquake,2.806619041,1.431587139,0.2,6,reviewed,tx,tx
2022-03-29T22:27:19.580Z,37.1353,-116.2227,7.3,2.9,ml,33,68.41,0.095,0.1438,nn,nn00836262,2022-03-31T02:53:39.186Z,"53 km ENE of Beatty, Nevada",earthquake,,1.2,0.33,23,reviewed,nn,nn
2022-03-29T22:11:54.508Z,50.2241,179.9959,10,3.9,mb,,274,1.237,0.72,us,us7000gyfg,2022-03-30T21:41:13.040Z,"299 km SW of Adak, Alaska",earthquake,7.7,2,0.088,34,reviewed,us,us
2022-03-29T21:25:26.850Z,17.9298,-66.8928,5,2.62,md,16,189,0.0473,0.26,pr,pr2022088001,2022-03-29T21:49:14.283Z,"4 km SSE of Guánica, Puerto Rico",earthquake,0.62,0.43,0.29,10,reviewed,pr,pr
2022-03-29T21:11:27.709Z,41.3586,-106.5647,10,3.3,ml,,75,0.659,0.58,us,us7000gy83,2022-03-30T21:33:18.040Z,"6 km NW of Ryan Park, Wyoming",earthquake,2.7,2,0.036,104,reviewed,us,us
2022-03-29T20:38:35.302Z,50.9059,-178.3205,10,3.9,mb,,229,0.963,1.28,us,us7000gy7t,2022-03-29T22:10:39.040Z,"159 km SW of Adak, Alaska",earthquake,6,1.9,0.067,60,reviewed,us,us
2022-03-29T19:36:20.217Z,-18.8804,168.8927,112.25,4.6,mb,,144,3.777,0.8,us,us7000gy79,2022-03-29T21:52:07.040Z,"83 km NNW of Isangel, Vanuatu",earthquake,8.2,8.5,0.091,38,reviewed,us,us
